model,step,train_loss,test_loss
transformer,500,2.2131576538085938,2.1970791816711426
transformer,1000,2.144432544708252,2.1338284015655518
transformer,1500,2.1263296604156494,2.106513023376465
transformer,2000,2.085818290710449,2.0845537185668945
bigram,500,3.1172914505004883,3.115144968032837
bigram,1000,2.9687070846557617,2.9647583961486816
bigram,1500,2.8480236530303955,2.8419747352600098
bigram,2000,2.7535250186920166,2.7442972660064697
mlp,500,2.2714312076568604,2.254472017288208
mlp,1000,2.211045265197754,2.1941840648651123
mlp,1500,2.1943039894104004,2.170523166656494
mlp,2000,2.1585023403167725,2.143286943435669
rnn,500,2.2804675102233887,2.2759904861450195
rnn,1000,2.2292094230651855,2.2206931114196777
rnn,1500,2.196099281311035,2.1940906047821045
rnn,2000,2.1991536617279053,2.170957088470459
gru,500,2.289264440536499,2.2682838439941406
gru,1000,2.1884686946868896,2.2017276287078857
gru,1500,2.176558256149292,2.170405149459839
gru,2000,2.1599762439727783,2.147345542907715
bow,500,2.340780258178711,2.314926862716675
bow,1000,2.301762819290161,2.2853615283966064
bow,1500,2.2692019939422607,2.2680611610412598
bow,2000,2.26119327545166,2.2560439109802246
